timestamp,machine_id,material_category,material_name,quantity_used_kg,recycled_material,energy_consumption_kwh,production_output_units,defect_rate,energy_intensity_kwh_per_unit,estimated_defective_units,material_efficiency_units_per_kg
2025-05-01 09:35:00,M009,Intermediate Material,Textiles,186.89,0.0,184.46,405,4.21,0.4554567901234568,17.0505,2.1670501364438977
2025-05-01 09:40:00,M009,Hazardous Material,Lead-Based Alloy,72.93,0.0,171.5,652,4.77,0.2630368098159509,31.100399999999993,8.940079528314822
2025-05-01 09:45:00,M009,Raw Material,Polypropylene,123.29,0.0,93.42,471,4.39,0.198343949044586,20.6769,3.820261172844513
2025-05-01 09:50:00,M005,Intermediate Material,Sheet Metal,86.13,0.0,148.08,180,0.43,0.8226666666666668,0.774,2.089864158829676
2025-05-01 09:55:00,M008,Raw Material,Aluminum,69.26,0.0,137.03,662,0.83,0.2069939577039275,5.494599999999999,9.558186543459428
2025-05-01 10:00:00,M009,Hazardous Material,Solvent,194.65,0.0,191.47,873,3.65,0.2193241695303551,31.8645,4.484973028512715
2025-05-01 10:05:00,M004,Finished Material,Machine Component,109.85,0.0,160.6,482,2.19,0.33319502074688795,10.5558,4.3878015475648615
2025-05-01 10:10:00,M009,Recycled Material,Scrap Steel,87.19,3.2,82.52,667,1.15,0.12371814092953523,7.6705,7.649959857781856
2025-05-01 10:15:00,M004,Raw Material,Steel,156.18,0.0,87.06,169,4.53,0.5151479289940829,7.6557,1.0820847739787425
2025-05-01 10:20:00,M006,Raw Material,Aluminum,91.77,0.0,138.25,652,0.66,0.2120398773006135,4.3032,7.104718317532964
2025-05-01 10:25:00,M010,Hazardous Material,Solvent,86.45,0.0,136.76,516,0.95,0.26503875968992247,4.902,5.968768074031232
2025-05-01 10:30:00,M002,Finished Material,Machine Component,103.14,0.0,129.33,984,3.65,0.1314329268292683,35.916,9.54043048283886
2025-05-01 10:35:00,M002,Raw Material,Cotton,159.23,0.0,176.07,211,1.24,0.8344549763033176,2.6164,1.3251271745274134
2025-05-01 10:40:00,M004,Hazardous Material,Solvent,71.03,0.0,102.02,573,1.25,0.1780453752181501,7.1625,8.067013937772773
2025-05-01 10:45:00,M002,Recycled Material,Scrap Steel,57.59,49.96,180.32,195,4.63,0.9247179487179487,9.028500000000001,3.386004514672686
2025-05-01 10:50:00,M004,Intermediate Material,Plastic Resin,122.85,0.0,105.65,510,4.51,0.20715686274509806,23.000999999999998,4.151404151404152
2025-05-01 10:55:00,M003,Recycled Material,Scrap Steel,197.8,13.26,174.09,565,1.43,0.30812389380530975,8.0795,2.8564206268958543
2025-05-01 11:00:00,M009,Finished Material,Packaging,123.0,0.0,102.79,322,4.84,0.31922360248447207,15.5848,2.6178861788617884
2025-05-01 11:05:00,M010,Finished Material,Packaging,59.14,0.0,117.63,151,2.92,0.7790066225165563,4.4092,2.5532634426783902
2025-05-01 11:10:00,M009,Hazardous Material,Lead-Based Alloy,58.53,0.0,140.94,971,0.93,0.14514933058702367,9.0303,16.589783017256106
2025-05-01 11:15:00,M010,Raw Material,Aluminum,110.57,0.0,192.99,683,1.23,0.28256222547584187,8.4009,6.177082391245365
2025-05-01 11:20:00,M010,Raw Material,Steel,112.88,0.0,150.04,635,1.58,0.2362834645669291,10.033000000000001,5.625442948263643
2025-05-01 11:25:00,M005,Intermediate Material,Textiles,157.43,0.0,108.64,505,0.65,0.21512871287128713,3.2825,3.207774884075462
2025-05-01 11:30:00,M005,Recycled Material,Reprocessed Plastics,189.35,46.79,81.12,736,4.99,0.11021739130434784,36.726400000000005,3.8869817797729076
2025-05-01 11:35:00,M002,Raw Material,Aluminum,125.88,0.0,95.89,457,4.4,0.20982494529540482,20.108,3.630441690498888
2025-05-01 11:40:00,M004,Process Additive,Coolant,73.66,0.0,180.05,820,1.51,0.21957317073170732,12.382,11.132229161010047
2025-05-01 11:45:00,M009,Raw Material,Polypropylene,189.76,0.0,92.43,999,0.67,0.09252252252252254,6.693300000000001,5.264544688026982
2025-05-01 11:50:00,M002,Raw Material,Aluminum,90.85,0.0,152.58,834,1.71,0.1829496402877698,14.261399999999998,9.179966978536049
2025-05-01 11:55:00,M005,Hazardous Material,Solvent,87.67,0.0,188.98,152,0.46,1.2432894736842104,0.6992,1.7337743812022357
2025-05-01 12:00:00,M007,Process Additive,Industrial Oil,50.53,0.0,172.53,752,4.9,0.2294281914893617,36.848,14.882248169404313
2025-05-01 12:05:00,M003,Finished Material,Machine Component,132.75,0.0,131.32,109,0.56,1.2047706422018347,0.6104,0.8210922787193974
2025-05-01 12:10:00,M003,Hazardous Material,Lead-Based Alloy,175.19,0.0,149.9,251,2.15,0.5972111553784861,5.3965,1.4327301786631657
2025-05-01 12:15:00,M001,Process Additive,Coolant,184.85,0.0,175.53,981,0.2,0.1789296636085627,1.9620000000000002,5.30700568028131
2025-05-01 12:20:00,M006,Intermediate Material,Textiles,87.43,0.0,92.34,898,2.8,0.10282850779510022,25.143999999999995,10.27107400205879
2025-05-01 12:25:00,M007,Hazardous Material,Lead-Based Alloy,188.86,0.0,108.41,266,4.88,0.4075563909774436,12.980799999999999,1.408450704225352
2025-05-01 12:30:00,M003,Recycled Material,Scrap Steel,76.9,46.22,173.89,521,4.01,0.33376199616122837,20.8921,6.775032509752926
2025-05-01 12:35:00,M004,Process Additive,Industrial Oil,168.11,0.0,92.97,993,0.19,0.09362537764350454,1.8867000000000003,5.906846707512938
2025-05-01 12:40:00,M008,Intermediate Material,Sheet Metal,172.49,0.0,135.24,412,4.1,0.32825242718446607,16.892,2.3885442634355614
2025-05-01 12:45:00,M004,Intermediate Material,Sheet Metal,149.0,0.0,127.82,385,4.32,0.33199999999999996,16.632,2.5838926174496644
2025-05-01 12:50:00,M005,Process Additive,Catalyst,126.41,0.0,161.54,963,2.68,0.16774662512980268,25.808400000000002,7.61806819080769
2025-05-01 12:55:00,M001,Raw Material,Polypropylene,76.79,0.0,195.5,371,0.19,0.5269541778975741,0.7049,4.831358249772105
2025-05-01 13:00:00,M010,Recycled Material,Reprocessed Plastics,159.28,15.68,152.75,623,0.58,0.24518459069020868,3.6134,3.911351079859367
2025-05-01 13:05:00,M010,Intermediate Material,Plastic Resin,56.66,0.0,132.33,632,4.63,0.20938291139240509,29.261599999999998,11.154253441581362
2025-05-01 13:10:00,M009,Finished Material,Packaging,191.04,0.0,168.44,301,1.82,0.5596013289036544,5.4782,1.5755862646566166
2025-05-01 13:15:00,M002,Finished Material,Machine Component,143.47,0.0,159.61,227,3.6,0.7031277533039648,8.172,1.5822123091935596
2025-05-01 13:20:00,M005,Hazardous Material,Solvent,150.03,0.0,119.14,813,1.48,0.14654366543665437,12.0324,5.4189162167566485
2025-05-01 13:25:00,M003,Intermediate Material,Plastic Resin,149.74,0.0,125.5,866,4.51,0.14491916859122403,39.056599999999996,5.783357820221717
2025-05-01 13:30:00,M010,Hazardous Material,Solvent,110.91,0.0,180.05,411,1.43,0.4380778588807786,5.8773,3.705707330267785
2025-05-01 13:35:00,M007,Hazardous Material,Solvent,119.75,0.0,133.06,318,2.56,0.4184276729559748,8.1408,2.6555323590814197
2025-05-01 13:40:00,M003,Finished Material,Circuit Board,92.57,0.0,159.66,734,1.68,0.21752043596730244,12.331199999999999,7.929134708868965
2025-05-01 13:45:00,M004,Finished Material,Machine Component,83.7,0.0,103.9,125,0.23,0.8312,0.2875,1.4934289127837514
2025-05-01 13:50:00,M008,Hazardous Material,Lead-Based Alloy,118.31,0.0,186.34,689,0.97,0.2704499274310595,6.683299999999999,5.823683543233877
2025-05-01 13:55:00,M007,Recycled Material,Reprocessed Plastics,86.6,32.8,80.67,868,4.3,0.09293778801843318,37.324,10.02309468822171
2025-05-01 14:00:00,M002,Recycled Material,Scrap Steel,76.38,47.9,142.15,151,2.79,0.9413907284768213,4.2129,1.976957318669809
2025-05-01 14:05:00,M002,Recycled Material,Scrap Steel,170.21,33.38,198.55,709,1.59,0.2800423131170663,11.2731,4.165442688443687
2025-05-01 14:10:00,M008,Hazardous Material,Solvent,174.59,0.0,145.74,262,3.72,0.5562595419847328,9.746400000000001,1.500658686064494
2025-05-01 14:15:00,M008,Recycled Material,Reprocessed Plastics,162.77,41.99,113.28,896,2.61,0.12642857142857142,23.3856,5.504699883270873
2025-05-01 14:20:00,M004,Process Additive,Coolant,61.62,0.0,114.29,378,1.68,0.3023544973544974,6.3504,6.134371957156768
2025-05-01 14:25:00,M009,Raw Material,Aluminum,72.62,0.0,125.96,256,3.53,0.49203125,9.0368,3.525199669512531
2025-05-01 14:30:00,M002,Recycled Material,Reprocessed Plastics,99.63,23.3,87.47,952,2.1,0.09188025210084033,19.992,9.555354812807387
2025-05-01 14:35:00,M010,Finished Material,Circuit Board,178.51,0.0,171.87,489,2.38,0.3514723926380368,11.6382,2.7393423337628144
2025-05-01 14:40:00,M006,Process Additive,Coolant,178.02,0.0,194.41,529,2.69,0.3675047258979206,14.2301,2.9715762273901807
2025-05-01 14:45:00,M009,Hazardous Material,Lead-Based Alloy,123.23,0.0,112.75,597,0.15,0.1888609715242881,0.8955,4.8445995293353885
2025-05-01 14:50:00,M006,Finished Material,Packaging,169.72,0.0,166.9,960,2.34,0.17385416666666667,22.463999999999995,5.6563752062220125
2025-05-01 14:55:00,M003,Hazardous Material,Lead-Based Alloy,186.04,0.0,151.03,778,0.14,0.1941259640102828,1.0892000000000002,4.181896366372823
2025-05-01 15:00:00,M007,Intermediate Material,Plastic Resin,77.26,0.0,111.22,435,1.06,0.2556781609195402,4.611000000000001,5.630339114677711
2025-05-01 15:05:00,M006,Process Additive,Coolant,91.74,0.0,194.14,531,1.26,0.36561205273069675,6.690600000000001,5.7880967952910405
2025-05-01 15:10:00,M002,Recycled Material,Scrap Steel,162.35,2.6,194.23,329,3.25,0.5903647416413373,10.6925,2.026485987064983
2025-05-01 15:15:00,M001,Raw Material,Aluminum,79.9,0.0,82.45,256,1.19,0.3220703125,3.0463999999999998,3.2040050062578223
2025-05-01 15:20:00,M008,Finished Material,Circuit Board,134.6,0.0,106.16,816,1.28,0.13009803921568627,10.4448,6.062407132243686
2025-05-01 15:25:00,M006,Intermediate Material,Textiles,141.09,0.0,169.75,217,3.89,0.782258064516129,8.4413,1.5380253738748317
2025-05-01 15:30:00,M003,Process Additive,Industrial Oil,136.8,0.0,191.47,689,3.39,0.2778955007256894,23.3571,5.036549707602338
2025-05-01 15:35:00,M007,Recycled Material,Scrap Steel,61.4,34.53,155.27,204,3.49,0.7611274509803923,7.1196,3.3224755700325734
2025-05-01 15:40:00,M005,Finished Material,Packaging,170.83,0.0,175.55,679,3.91,0.2585419734904271,26.5489,3.97471170169174
2025-05-01 15:45:00,M006,Hazardous Material,Solvent,149.23,0.0,88.27,763,1.71,0.11568807339449541,13.0473,5.112912953159553
2025-05-01 15:50:00,M007,Recycled Material,Scrap Steel,115.03,18.11,186.99,570,3.54,0.3280526315789474,20.178,4.955229070677214
2025-05-01 15:55:00,M007,Intermediate Material,Textiles,128.26,0.0,158.05,730,4.04,0.2165068493150685,29.491999999999997,5.691564010603462
2025-05-01 16:00:00,M009,Recycled Material,Reprocessed Plastics,115.34,36.55,112.21,972,1.23,0.11544238683127571,11.955599999999999,8.427258539968788
2025-05-01 16:05:00,M002,Process Additive,Coolant,86.58,0.0,135.77,724,3.34,0.18752762430939227,24.1816,8.362208362208362
2025-05-01 16:10:00,M006,Raw Material,Cotton,177.64,0.0,101.82,317,1.77,0.321198738170347,5.6109,1.7845079936951138
2025-05-01 16:15:00,M005,Process Additive,Coolant,182.05,0.0,164.14,382,2.78,0.42968586387434554,10.6196,2.0983246360889862
2025-05-01 16:20:00,M009,Intermediate Material,Sheet Metal,86.2,0.0,128.77,668,3.79,0.19276946107784432,25.3172,7.749419953596288
2025-05-01 16:25:00,M008,Finished Material,Packaging,123.62,0.0,175.15,195,1.47,0.8982051282051282,2.8665,1.5774146578223587
2025-05-01 16:30:00,M007,Finished Material,Circuit Board,95.93,0.0,149.79,584,2.77,0.2564897260273972,16.1768,6.087772333993536
2025-05-01 16:35:00,M006,Recycled Material,Reprocessed Plastics,102.77,22.69,116.79,336,0.6,0.3475892857142857,2.016,3.269436606013428
2025-05-01 16:40:00,M004,Process Additive,Industrial Oil,161.43,0.0,194.11,806,0.93,0.2408312655086849,7.4958,4.99287616923744
2025-05-01 16:45:00,M004,Finished Material,Machine Component,91.47,0.0,150.75,878,2.62,0.17169703872437359,23.003600000000002,9.59877555482672
2025-05-01 16:50:00,M005,Raw Material,Aluminum,94.44,0.0,123.31,409,0.07,0.3014914425427873,0.2863,4.330792037272342
2025-05-01 16:55:00,M009,Intermediate Material,Plastic Resin,56.83,0.0,86.54,399,3.49,0.2168922305764411,13.9251,7.020939644553933
2025-05-01 17:00:00,M003,Finished Material,Machine Component,65.39,0.0,81.47,391,2.35,0.20836317135549873,9.1885,5.979507569964826
2025-05-01 17:05:00,M008,Process Additive,Industrial Oil,194.82,0.0,110.3,982,2.39,0.11232179226069246,23.4698,5.040550251514219
2025-05-01 17:10:00,M002,Recycled Material,Reprocessed Plastics,61.11,31.47,86.43,252,4.06,0.3429761904761905,10.2312,4.123711340206186
2025-05-01 17:15:00,M005,Raw Material,Aluminum,67.77,0.0,171.73,720,2.98,0.2385138888888889,21.456,10.624169986719789
2025-05-01 17:20:00,M010,Intermediate Material,Textiles,107.06,0.0,189.02,404,4.3,0.4678712871287129,17.372,3.7735849056603774
2025-05-01 17:25:00,M007,Process Additive,Catalyst,143.15,0.0,153.16,857,0.5,0.1787164527421237,4.285,5.986727209221097
2025-05-01 17:30:00,M004,Finished Material,Circuit Board,89.7,0.0,89.74,345,0.87,0.26011594202898547,3.0014999999999996,3.846153846153846
2025-05-01 17:35:00,M002,Intermediate Material,Sheet Metal,111.28,0.0,162.72,581,1.46,0.28006884681583477,8.4826,5.221063982746226
2025-05-01 17:40:00,M004,Process Additive,Catalyst,92.41,0.0,183.15,172,3.44,1.0648255813953489,5.916799999999999,1.8612704252786496
2025-05-01 17:45:00,M005,Finished Material,Packaging,149.18,0.0,192.04,535,0.57,0.35895327102803737,3.0495,3.5862716181793806
2025-05-01 17:50:00,M004,Finished Material,Circuit Board,186.26,0.0,179.2,173,0.3,1.0358381502890173,0.519,0.9288091914528079
2025-05-01 17:55:00,M005,Hazardous Material,Solvent,115.87,0.0,136.24,411,3.5,0.3314841849148419,14.385,3.5470786225942867
2025-05-01 18:00:00,M005,Hazardous Material,Solvent,115.66,0.0,151.76,542,3.67,0.27999999999999997,19.891399999999997,4.68614905758257
2025-05-01 18:05:00,M010,Process Additive,Industrial Oil,63.7,0.0,195.43,956,4.3,0.20442468619246862,41.108000000000004,15.007849293563579
2025-05-01 18:10:00,M010,Raw Material,Polypropylene,136.44,0.0,171.57,279,2.35,0.6149462365591397,6.5565,2.044854881266491
2025-05-01 18:15:00,M008,Process Additive,Industrial Oil,199.54,0.0,132.31,933,2.46,0.14181136120042873,22.9518,4.675754234739902
2025-05-01 18:20:00,M002,Recycled Material,Reprocessed Plastics,111.25,16.05,92.55,264,1.65,0.35056818181818183,4.356,2.3730337078651687
2025-05-01 18:25:00,M008,Process Additive,Catalyst,191.78,0.0,177.63,663,0.18,0.2679185520361991,1.1933999999999998,3.457086244655334
2025-05-01 18:30:00,M002,Process Additive,Coolant,98.49,0.0,196.42,513,4.32,0.3828849902534113,22.161600000000004,5.208650624428876
2025-05-01 18:35:00,M001,Finished Material,Packaging,119.3,0.0,86.5,630,1.81,0.1373015873015873,11.402999999999999,5.280804694048617
2025-05-01 18:40:00,M008,Finished Material,Machine Component,164.0,0.0,104.43,662,0.66,0.15774924471299095,4.3692,4.036585365853658
2025-05-01 18:45:00,M005,Recycled Material,Reprocessed Plastics,68.21,48.66,153.06,345,3.55,0.44365217391304346,12.2475,5.0579093974490545
2025-05-01 18:50:00,M005,Hazardous Material,Lead-Based Alloy,132.84,0.0,91.19,961,4.56,0.09489073881373569,43.8216,7.234266787112316
2025-05-01 18:55:00,M008,Raw Material,Aluminum,124.76,0.0,165.99,621,3.53,0.2672946859903382,21.921299999999995,4.9775569092657905
2025-05-01 19:00:00,M007,Recycled Material,Reprocessed Plastics,86.56,27.56,126.03,713,2.54,0.1767601683029453,18.1102,8.237060998151572
2025-05-01 19:05:00,M003,Raw Material,Polypropylene,165.9,0.0,182.53,448,4.67,0.40743303571428574,20.921599999999998,2.70042194092827
2025-05-01 19:10:00,M009,Process Additive,Industrial Oil,92.43,0.0,115.83,701,2.9,0.16523537803138375,20.328999999999997,7.584117710699989
2025-05-01 19:15:00,M008,Intermediate Material,Plastic Resin,130.79,0.0,121.41,665,3.81,0.18257142857142858,25.3365,5.084486581542932
2025-05-01 19:20:00,M007,Recycled Material,Reprocessed Plastics,180.44,49.04,108.66,492,1.17,0.22085365853658537,5.7564,2.7266681445355796
2025-05-01 19:25:00,M007,Raw Material,Polypropylene,161.71,0.0,164.63,930,1.91,0.1770215053763441,17.762999999999998,5.751035804835817
2025-05-01 19:30:00,M003,Recycled Material,Scrap Steel,68.94,48.27,119.84,202,4.37,0.5932673267326732,8.8274,2.9300841311285177
2025-05-01 19:35:00,M008,Raw Material,Cotton,52.3,0.0,97.3,991,3.27,0.09818365287588295,32.4057,18.948374760994266
2025-05-01 19:40:00,M003,Raw Material,Cotton,167.23,0.0,111.8,738,3.46,0.15149051490514906,25.5348,4.4130837768343
2025-05-01 19:45:00,M002,Process Additive,Catalyst,178.9,0.0,125.6,424,3.13,0.2962264150943396,13.271199999999999,2.3700391280044717
2025-05-01 19:50:00,M008,Hazardous Material,Lead-Based Alloy,142.62,0.0,108.17,800,4.6,0.1352125,36.8,5.60931145701865
2025-05-01 19:55:00,M004,Finished Material,Circuit Board,115.1,0.0,91.81,748,3.52,0.12274064171122995,26.3296,6.498696785403997
2025-05-01 20:00:00,M002,Recycled Material,Scrap Steel,154.1,45.17,85.52,915,0.28,0.09346448087431694,2.5620000000000003,5.937702790395847
2025-05-01 20:05:00,M006,Process Additive,Coolant,71.84,0.0,143.74,679,3.41,0.2116936671575847,23.1539,9.451559020044543
2025-05-01 20:10:00,M003,Intermediate Material,Sheet Metal,61.85,0.0,184.5,734,3.42,0.2513623978201635,25.1028,11.867421180274858
2025-05-01 20:15:00,M008,Hazardous Material,Lead-Based Alloy,84.83,0.0,156.55,570,1.28,0.2746491228070176,7.296,6.719320994931039
2025-05-01 20:20:00,M001,Recycled Material,Reprocessed Plastics,151.64,7.9,133.01,453,4.94,0.29362030905077263,22.378200000000003,2.9873384331311
2025-05-01 20:25:00,M005,Finished Material,Machine Component,153.55,0.0,134.82,409,1.0,0.3296332518337408,4.09,2.663627482904591
2025-05-01 20:30:00,M007,Recycled Material,Scrap Steel,85.58,28.6,148.98,816,1.48,0.1825735294117647,12.0768,9.53493806964244
2025-05-01 20:35:00,M007,Process Additive,Industrial Oil,134.89,0.0,162.3,862,4.87,0.1882830626450116,41.979400000000005,6.3903921713989185
2025-05-01 20:40:00,M010,Finished Material,Machine Component,174.93,0.0,188.35,894,3.99,0.21068232662192393,35.67060000000001,5.110615674841365
2025-05-01 20:45:00,M010,Process Additive,Industrial Oil,145.49,0.0,154.51,794,3.78,0.1945969773299748,30.013199999999998,5.457419753934978
2025-05-01 20:50:00,M003,Finished Material,Circuit Board,185.51,0.0,157.56,416,3.94,0.37875000000000003,16.3904,2.242466713384723
2025-05-01 20:55:00,M001,Hazardous Material,Solvent,159.85,0.0,90.82,402,1.63,0.22592039800995023,6.5526,2.514857679074132
2025-05-01 21:00:00,M007,Intermediate Material,Sheet Metal,69.82,0.0,144.73,474,2.65,0.30533755274261604,12.561,6.7888857061014045
2025-05-01 21:05:00,M005,Intermediate Material,Plastic Resin,187.11,0.0,193.3,925,1.48,0.208972972972973,13.69,4.9436160547271655
2025-05-01 21:10:00,M006,Raw Material,Cotton,194.43,0.0,96.89,331,4.3,0.2927190332326284,14.232999999999999,1.702412179190454
2025-05-01 21:15:00,M007,Hazardous Material,Solvent,63.55,0.0,127.35,370,2.68,0.34418918918918917,9.916,5.822187254130606
2025-05-01 21:20:00,M008,Process Additive,Catalyst,162.35,0.0,111.46,490,4.11,0.22746938775510203,20.139,3.018170619032954
2025-05-01 21:25:00,M006,Raw Material,Aluminum,120.72,0.0,154.35,674,1.64,0.22900593471810088,11.0536,5.583167660702452
2025-05-01 21:30:00,M010,Intermediate Material,Textiles,59.48,0.0,178.86,817,1.51,0.21892288861689108,12.3367,13.735709482178885
2025-05-01 21:35:00,M007,Raw Material,Aluminum,56.8,0.0,84.47,604,0.58,0.13985099337748344,3.5032,10.63380281690141
2025-05-01 21:40:00,M004,Hazardous Material,Lead-Based Alloy,108.3,0.0,124.52,860,3.48,0.1447906976744186,29.928,7.940904893813482
2025-05-01 21:45:00,M009,Recycled Material,Scrap Steel,182.81,32.75,180.04,730,2.04,0.24663013698630135,14.892000000000001,3.9932170012581367
2025-05-01 21:50:00,M005,Raw Material,Polypropylene,82.59,0.0,133.36,341,4.28,0.3910850439882698,14.5948,4.128829156072164
2025-05-01 21:55:00,M002,Finished Material,Machine Component,131.67,0.0,197.34,467,0.3,0.4225695931477516,1.401,3.54674565200881
2025-05-01 22:00:00,M005,Intermediate Material,Sheet Metal,192.35,0.0,178.9,193,3.31,0.9269430051813472,6.3883,1.003379256563556
2025-05-01 22:05:00,M010,Raw Material,Steel,168.02,0.0,109.23,228,3.93,0.47907894736842105,8.9604,1.3569813117486014
2025-05-01 22:10:00,M004,Raw Material,Aluminum,137.96,0.0,177.57,338,1.64,0.5253550295857988,5.5432,2.4499855030443607
2025-05-01 22:15:00,M003,Hazardous Material,Lead-Based Alloy,91.59,0.0,198.08,233,2.7,0.8501287553648069,6.291,2.5439458456163337
2025-05-01 22:20:00,M003,Raw Material,Steel,69.77,0.0,122.99,907,1.19,0.13560088202866594,10.793299999999999,12.99985667192203
2025-05-01 22:25:00,M006,Raw Material,Aluminum,89.81,0.0,95.21,531,2.63,0.17930320150659132,13.9653,5.91248190624652
2025-05-01 22:30:00,M002,Recycled Material,Reprocessed Plastics,166.7,25.66,93.09,615,1.11,0.15136585365853658,6.826500000000001,3.6892621475704863
2025-05-01 22:35:00,M010,Raw Material,Polypropylene,118.71,0.0,195.68,162,4.99,1.2079012345679012,8.0838,1.3646702047005308
2025-05-01 22:40:00,M007,Recycled Material,Scrap Steel,123.54,45.49,88.82,182,1.61,0.488021978021978,2.9302000000000006,1.4732070584426096
2025-05-01 22:45:00,M003,Raw Material,Aluminum,91.25,0.0,155.97,661,3.56,0.2359606656580938,23.531599999999997,7.243835616438356
2025-05-01 22:50:00,M007,Hazardous Material,Solvent,118.06,0.0,152.65,201,3.97,0.759452736318408,7.9797,1.7025241402676605
2025-05-01 22:55:00,M002,Finished Material,Packaging,181.66,0.0,146.16,986,1.08,0.14823529411764705,10.648800000000001,5.427722118242872
2025-05-01 23:00:00,M008,Intermediate Material,Plastic Resin,100.84,0.0,134.42,525,3.65,0.25603809523809523,19.1625,5.206267354224514
2025-05-01 23:05:00,M006,Recycled Material,Reprocessed Plastics,149.77,18.72,98.32,585,0.34,0.16806837606837605,1.989,3.905989183414569
2025-05-01 23:10:00,M002,Raw Material,Cotton,64.48,0.0,168.66,931,0.65,0.18116004296455424,6.0515,14.438585607940446
2025-05-01 23:15:00,M001,Hazardous Material,Solvent,150.5,0.0,129.3,994,3.33,0.13008048289738433,33.1002,6.604651162790698
2025-05-01 23:20:00,M007,Finished Material,Circuit Board,195.26,0.0,152.05,460,0.52,0.3305434782608696,2.3920000000000003,2.3558332479770563
2025-05-01 23:25:00,M009,Intermediate Material,Sheet Metal,148.51,0.0,106.91,210,1.75,0.509095238095238,3.675,1.4140461921756111
2025-05-01 23:30:00,M009,Process Additive,Industrial Oil,164.39,0.0,148.89,926,2.15,0.16078833693304534,19.909,5.632946042946652
2025-05-01 23:35:00,M009,Hazardous Material,Lead-Based Alloy,141.35,0.0,158.94,810,1.34,0.19622222222222221,10.854000000000001,5.730456314113902
2025-05-01 23:40:00,M003,Process Additive,Catalyst,164.36,0.0,190.58,459,0.03,0.41520697167755993,0.1377,2.7926502798734485
2025-05-01 23:45:00,M003,Hazardous Material,Solvent,60.44,0.0,168.92,131,0.46,1.2894656488549618,0.6026,2.167438782263402
2025-05-01 23:50:00,M009,Intermediate Material,Plastic Resin,112.97,0.0,120.91,478,1.56,0.2529497907949791,7.4568,4.231211826148535
2025-05-01 23:55:00,M006,Hazardous Material,Lead-Based Alloy,182.5,0.0,98.67,872,3.09,0.11315366972477064,26.9448,4.778082191780822
2025-05-02 00:00:00,M002,Process Additive,Coolant,149.29,0.0,138.28,552,2.07,0.2505072463768116,11.4264,3.697501507133767
2025-05-02 00:05:00,M004,Hazardous Material,Lead-Based Alloy,101.78,0.0,93.31,794,3.39,0.11751889168765743,26.916600000000003,7.801139713106701
